,desvio_padrao,max,min
0,608.9640041907239,-696,-4268
1,371.2911526012975,-8316,-10436
2,302.9539793433979,13528,12092
3,286.7416766010829,275,-1394
4,548.3256947289631,2169,-505
5,317.96136164634845,214,-858
6,369.7455882089738,6088,4668
7,390.6528095380859,15020,12968
8,426.18932131155043,9256,7248
9,365.7004052499806,275,-1102
10,369.4154759887572,417,-1221
11,414.6948897683693,227,-1815
12,356.0345691081135,7168,5600
13,269.12364741880265,15864,14396
14,436.33897098471505,4944,2908
15,368.01562684212206,18,-1342
16,435.19971277564053,424,-1638
17,347.31065978457957,701,-1102
18,357.36367134894954,8948,7448
19,228.67471744816913,14748,13428
20,410.0238646713139,4324,2396
21,357.2141759505073,221,-1109
22,454.53537277092084,122,-2004
23,324.3410297819256,510,-1135
24,383.39703493897815,7632,5900
25,174.8613164768011,15532,14536
26,401.7364927411997,180,-1608
27,358.9954573528752,-81,-1379
28,480.4324588326646,399,-1952
29,283.1207648689866,393,-1308
