,desvio_padrao,max,min
0,515.6359956403354,-7168,-9584
1,561.4700476427928,-3572,-6916
2,371.030760988897,13676,11404
3,397.12358517217285,561,-1446
4,463.62460795346055,1483,-553
5,346.16347294305905,956,-1026
6,490.62340588276055,-1032,-3280
7,313.6513631406693,-13644,-15276
8,486.64664799009967,9624,6668
9,484.9236487324577,1124,-696
10,252.51691012682699,877,-357
11,297.3607909594,938,-472
12,467.2970361558053,2620,460
13,277.38810356610463,-14692,-16016
14,569.8901845092613,9292,6040
15,492.7920310841075,852,-946
16,292.80593761056144,1068,-343
17,268.8299185358654,1164,-107
18,377.2402417558339,1452,-264
19,236.75114022956683,-14860,-15940
20,500.6521363182225,7600,4828
21,497.3202654225947,1034,-767
22,254.4810452666367,703,-517
23,261.60812888746403,888,-261
24,493.0851042163005,3384,936
25,4524.542498153818,16360,-16360
26,567.8109699539099,4688,1552
27,480.87849234499976,700,-1073
28,327.62106937741356,1161,-288
29,300.6977238024924,1019,-482
