,desvio_padrao,max,min
0,4392.665053290541,15940,-16256
1,360.8591414942955,-2504,-4332
2,421.5595331622807,-2808,-4764
3,354.1673473091499,651,-881
4,259.50698853788117,1113,-305
5,322.6636973692578,673,-687
6,339.56814691604984,-1288,-2852
7,372.5407231431216,24,-1512
8,3173.095774413372,15996,-16328
9,275.7007673184824,463,-803
10,251.60801179612707,973,-257
11,302.3381920962021,311,-803
12,354.66571528694453,2132,644
13,397.1916293176381,3108,1492
14,4487.650791940032,16372,-16332
15,275.42114279771624,200,-1105
16,236.76876884420378,1014,-222
17,330.0859238137852,639,-605
18,405.1943119047947,6204,4396
19,298.236252658861,-320,-1692
20,6244.919611844495,16296,-16364
21,263.08420249038136,364,-823
22,258.89732636703684,834,-450
23,309.04851965346796,533,-752
24,377.5011650313149,2344,524
25,386.38570573974397,3684,2112
26,321.82632832010495,16320,14724
27,269.38587101034085,24,-1237
28,257.024990808287,1027,-332
29,328.576378335388,264,-1025
