,desvio_padrao,max,min
0,477.495229714392,-13928,-16064
1,297.8029845384361,-5224,-6740
2,301.4781584128442,-396,-1804
3,234.99788488409845,655,-663
4,336.4063214328767,709,-907
5,390.06994385622687,961,-999
6,475.65785854960916,-624,-3040
7,327.13090713046364,-11916,-13540
8,604.5092885969577,12256,9488
9,504.27140896544984,850,-1508
10,305.6846617022189,987,-385
11,198.4987193913351,557,-412
12,404.122983261284,2936,1092
13,477.5221561351892,11292,9120
14,224.31055614928158,13824,12868
15,380.9939971968062,354,-1354
16,218.5854091653878,811,-389
17,284.4000977496316,741,-689
18,413.4068098132879,7784,5936
19,353.3152948854606,8288,6128
20,288.4241626493869,13968,12732
21,359.7593188508117,404,-1152
22,235.86319657801639,513,-695
23,320.08248561894163,886,-760
24,418.07983735167136,2396,708
25,448.5544337089981,11896,9820
26,258.9439815867517,12092,10680
27,377.8779140145664,142,-1531
28,195.62725040239152,897,-200
29,301.4061804276747,439,-1116
