,desvio_padrao,max,min
0,452.9148546912543,-12672,-14784
1,618.0955253033304,4432,1180
2,342.6523742804068,8280,6516
3,791.4918410192236,1809,-2073
4,423.65666570939254,925,-796
5,392.9252218934285,604,-1017
6,410.2629225265183,520,-1620
7,681.3862340846049,9748,5724
8,145.62547029966976,15852,15148
9,655.8182373188474,886,-2781
10,297.36084661569015,1334,-299
11,428.5906013901845,1499,-874
12,393.18453479250684,3412,1304
13,638.3323723578493,13544,10824
14,157.92056737486732,11876,11188
15,493.06447154505065,690,-1606
16,280.07371797439333,1292,-108
17,404.2903110389859,1487,-838
18,370.9595859389537,6056,4260
19,587.4688757713042,11648,9264
20,180.09330914834123,12288,11248
21,502.58144613584767,740,-1564
22,279.41066175076423,1053,-488
23,387.6885217542557,978,-1109
24,386.2843947145678,2988,828
25,590.2160404462081,15364,13092
26,218.57228003568983,7484,6396
27,455.4077446640538,413,-1527
28,274.97947996168733,1311,-89
29,398.54087306071887,425,-1393
