,desvio_padrao,max,min
0,510.5447616027414,-9168,-13244
1,179.88885457415086,-10828,-11696
2,397.66882905251697,-592,-2400
3,483.8658676740901,1278,-1049
4,680.2735281487882,1321,-1489
5,397.3612809522337,901,-996
6,338.07725507641,-4308,-5844
7,281.1960170414937,9796,8232
8,253.73932765734205,13776,12612
9,337.4896294702994,562,-885
10,518.8791019110329,1406,-743
11,362.42501293371015,453,-1165
12,376.38206971108497,-3676,-5692
13,381.64194947620734,-7716,-9444
14,545.5079335811716,14932,12108
15,645.3063969154497,456,-2303
16,381.54772637246833,1546,-335
17,269.8209723131247,1008,-423
18,429.25114140791743,4352,2340
19,330.0241809322462,-14196,-15748
20,561.1457479122514,8544,4876
21,667.2919543947762,793,-2307
22,263.95332617718606,799,-601
23,337.8523670184953,1379,-126
24,413.6571256487672,-532,-2820
25,395.9046673127257,-12348,-14252
26,681.6536070468636,10588,6852
27,772.0092835581706,525,-2886
28,310.2449606359465,1365,-404
29,309.2509691173174,635,-974
