,desvio_padrao,max,min
0,555.1029007310266,-2584,-5480
1,395.69956077812367,-13460,-15352
2,499.775980215136,7672,5284
3,632.2043796115304,1471,-2967
4,593.6330011042176,1191,-3226
5,471.6768877102205,1354,-919
6,415.94441744059986,2380,332
7,646.7125778891268,-10488,-14064
8,947.974760001552,14120,8640
9,1209.426838589255,1496,-5671
10,277.74170932720926,633,-1279
11,373.2748492732935,528,-1392
12,395.652162385093,5812,3200
13,11428.182280660385,16348,-16364
14,266.3634179086911,1300,-128
15,482.7515887078985,998,-1633
16,272.9200650373658,728,-696
17,291.7485442979965,1745,-124
18,306.33080158547557,6776,4924
19,319.0117013527874,16068,14420
20,231.3475100363088,1080,-20
21,399.19232194519975,1258,-882
22,315.58883630445484,741,-965
23,239.8778514160905,704,-384
24,317.1409680252616,5228,3540
25,307.3453067805005,16216,14664
26,229.0931653279949,-2728,-3780
27,382.25678855973246,732,-1195
28,264.24781456049925,728,-512
29,313.93843345471424,885,-707
