,desvio_padrao,max,min
0,652.7893369227166,-11536,-14788
1,368.5530713479403,-7992,-9900
2,283.57510751122004,3076,1448
3,260.0007421143255,257,-1087
4,439.3289933523623,1096,-558
5,349.0388236285471,732,-684
6,293.61557451879145,-3344,-4912
7,641.496344494651,15552,12152
8,212.84277389660193,8768,7600
9,392.84885592298724,656,-912
10,166.82053710499795,610,-156
11,316.8896312598441,975,-573
12,295.3416760296453,-860,-2340
13,9841.673248304884,16300,-16240
14,291.1333330280131,4740,3436
15,437.6442449067507,495,-1185
16,173.9729504836887,781,-85
17,244.0052942048594,852,-286
18,358.52910844169963,-484,-2524
19,255.51289595634896,-13432,-14924
20,858.611813568856,11156,6396
21,597.0940846298848,878,-1595
22,292.05666504978103,443,-1143
23,366.7447988724585,1649,-489
24,309.49923683266167,-2132,-3540
25,4400.254756261278,16276,-16368
26,280.7845465833189,5100,3540
27,422.3287586703042,297,-1326
28,203.52656435954495,840,-48
29,308.5980401752415,405,-737
