,desvio_padrao,max,min
0,442.83211446325794,-11828,-14264
1,293.89331397634754,-9168,-10748
2,567.6569259684937,1124,-1916
3,404.2218272186696,503,-1588
4,430.1715127713596,749,-1356
5,366.66996004581557,1333,-532
6,459.00065359430585,2724,336
7,433.33419158889365,-11432,-13740
8,720.632126955217,13260,9332
9,475.99221380186464,962,-1438
10,268.2756276667711,871,-323
11,484.3444612050395,1414,-675
12,351.2463090197533,6572,4840
13,298.50844142167904,16160,14732
14,315.05556081427926,-576,-2068
15,333.83647553854865,582,-1176
16,281.1954302615887,980,-503
17,362.60724703182643,727,-701
18,270.15066611059837,9020,7828
19,266.57352906843545,14908,13552
20,293.00450508481947,-1056,-2516
21,302.11576771165056,575,-899
22,320.55651607789855,974,-692
23,308.55219639471045,555,-631
24,303.7973508771925,7948,6396
25,235.95733851694465,14884,13580
26,268.86976475609896,-4192,-5340
27,305.20491788305117,415,-1272
28,278.21201609563883,1025,-506
29,380.4328601737763,461,-1133
