,desvio_padrao,max,min
0,447.1424989866205,2588,364
1,323.75353341701157,14976,13232
2,464.55727052754213,-8096,-10808
3,484.58475172048077,438,-1702
4,397.2298794149302,972,-669
5,277.8218133984443,958,-352
6,461.9364458450967,6996,4728
7,302.1029519882254,15880,14464
8,523.2616722061726,-1088,-3740
9,422.43637378900036,935,-1025
10,363.8239424501911,927,-936
11,460.68206769962296,1031,-828
12,459.6469949863699,5724,3532
13,253.1855161734178,16004,14816
14,523.2936980319943,-2524,-5124
15,431.53356115138945,735,-1150
16,309.0276628394293,996,-596
17,419.2384613796783,1155,-499
18,380.90518505265845,4516,2664
19,453.38420792965434,1084,-1460
20,16037.988182013354,16380,-16368
21,370.4960140136463,929,-700
22,387.9486646452079,522,-830
23,343.30562535443545,1015,-517
24,449.44396580663977,3400,1148
25,6320.4498486737475,16328,-16384
26,508.15462213778983,-1576,-4120
27,450.4228062609619,633,-1253
28,359.15635258199177,1085,-735
29,405.3099617576652,736,-833
