,desvio_padrao,max,min
0,615.1411103153488,5428,2384
1,340.64102160485606,16232,14100
2,463.27429283309044,-3748,-6808
3,488.4269693618484,525,-1720
4,452.62500770505375,1292,-916
5,493.7689551804569,1028,-876
6,440.67628753995825,6992,4892
7,364.9379804843557,15896,14112
8,666.2899020696622,-1476,-5068
9,553.9123731241251,696,-1569
10,330.12608788158497,1059,-647
11,401.1899813056154,1206,-745
12,514.902515045324,5284,2564
13,316.1586336002862,15980,14548
14,678.0990971827053,-2736,-6020
15,504.62214329139385,388,-1770
16,342.8204794057671,1106,-704
17,458.18884752905103,1870,-504
18,411.08904339571006,2040,-20
19,476.3025996149927,-5336,-7548
20,324.41108735676715,-14408,-16236
21,471.7920304540974,719,-1209
22,457.0219000223075,1371,-767
23,360.6065793908924,1064,-671
24,364.9473803166698,9952,8296
25,452.33951673494107,-9444,-11904
26,379.26018720661943,-9496,-11736
27,392.4957706778507,433,-1404
28,411.0075566215298,1623,-424
29,455.3330100047656,756,-901
