,desvio_padrao,max,min
0,413.2766627817254,-13892,-15896
1,284.8859954437915,-4996,-6432
2,207.99173445115554,3404,2456
3,170.7484521159709,355,-595
4,288.7049053964965,575,-986
5,262.9459296129149,689,-246
6,394.2377982893066,792,-1096
7,381.59006066720343,10780,8964
8,196.90099441089674,14520,13720
9,246.4161934613876,435,-527
10,222.186869774071,478,-424
11,165.96198480374957,306,-445
12,378.7526369545168,3788,2044
13,411.0840673147039,12620,10892
14,168.45540181306148,12348,11696
15,255.82327181083429,256,-768
16,198.19198243117708,526,-188
17,174.6191009025072,676,-139
18,426.35871469925416,6948,5052
19,329.27672252985025,8928,7380
20,170.1478839127892,13488,12776
21,213.87501583869022,323,-489
22,252.75002987141266,251,-679
23,181.79405133282003,702,-276
24,397.74798855556764,2956,1116
25,376.9145706920867,12580,10968
26,199.2199949804236,10916,10120
27,240.12427844764053,32,-927
28,222.03970365680098,578,-233
29,182.39589331999775,391,-443
