,desvio_padrao,max,min
0,410.7671729824573,-10576,-12432
1,285.51150169476534,-2852,-4188
2,402.64270215663913,11620,9932
3,308.9407412433653,412,-835
4,282.5469976835712,676,-591
5,218.4686009475961,627,-358
6,489.05567617603623,12328,10004
7,251.86005955688967,-2684,-3880
8,491.3198208906293,14468,12048
9,258.97637324667284,432,-978
10,308.45605845889946,530,-838
11,310.98572378808643,630,-763
12,413.185672549279,12344,10728
13,388.80669953075653,13672,11448
14,297.19060819615413,4448,3028
15,283.582593788829,46,-1218
16,364.79859361022767,757,-978
17,270.3734341609767,845,-357
18,362.04988606544265,15336,13856
19,319.4307211274457,7556,5900
20,246.77626790273004,-4684,-5868
21,209.65493054063862,229,-762
22,269.27016841826355,574,-586
23,262.24345082384804,744,-432
24,361.76738382557375,13964,12468
25,330.66619784913,10848,9264
26,229.4479322199265,-3900,-4868
27,202.48076353076112,-79,-1137
28,292.4066160332218,885,-498
29,272.7380463008416,571,-739
