,desvio_padrao,max,min
0,578.9315662494143,1644,-1208
1,6265.1168654383455,16380,-16360
2,478.56302239099085,4732,2048
3,364.2110382731418,353,-1349
4,470.00070329734615,1269,-1064
5,400.22751579570337,1610,-433
6,599.7290054683032,7640,4700
7,464.16287486183126,13836,11748
8,741.0000798920335,-5712,-9572
9,987.0874903472336,1683,-3567
10,345.3197085310944,1083,-490
11,488.1766766243549,1029,-1104
12,495.96857319793963,6652,4212
13,490.7448314552075,-13232,-15964
14,407.83256172110634,-5384,-7332
15,436.0142814174784,819,-1463
16,442.9715000990471,1317,-1070
17,515.9514018781226,1896,-451
18,445.4946015385596,1336,-760
19,406.34791792256055,-13620,-16112
20,429.92436730197096,-5840,-8084
21,417.1297748902612,1214,-895
22,392.65471651312174,929,-1108
23,406.96099309393276,1359,-540
24,453.8522244079013,4776,2620
25,15779.148629555399,16368,-16372
26,461.29607152023306,-816,-3120
27,421.6578720953754,797,-1184
28,400.00196449517597,1297,-766
29,467.51677659737516,1348,-660
