,desvio_padrao,max,min
0,894.7899293130204,-8208,-12584
1,389.6627793361844,-8440,-10360
2,553.5415807326492,8596,6056
3,297.4066029865511,337,-1095
4,768.5181753868935,3282,-706
5,868.7266472256968,1052,-3714
6,602.6213723392159,608,-2716
7,833.3175145165258,-9156,-13820
8,1154.8285303022262,16092,9336
9,1170.0372387236227,1400,-5258
10,444.6624602999449,1628,-788
11,404.154055280904,728,-1749
12,672.2906740391392,240,-3304
13,996.5560496028309,-10068,-15748
14,1377.974534452651,14760,7352
15,1104.577202190956,1322,-4998
16,670.9687491977552,3109,-595
17,216.29383162725654,778,-318
18,448.9742549411937,6740,4580
19,999.1396587064293,12948,7376
20,330.96237610943035,12396,10164
21,827.0481047073381,1312,-3320
22,382.7475506126721,568,-1265
23,583.28959359824,704,-2271
24,366.1501855796334,-844,-2620
25,6708.790061523761,16208,-16160
26,570.4824288266905,6220,3356
27,712.2926069390304,2217,-1703
28,433.07679353666595,799,-1891
29,743.2109727392351,648,-3346
