,desvio_padrao,max,min
0,438.23774369627273,-12748,-14836
1,328.5845133295238,-7148,-8572
2,344.30562005288266,4656,2996
3,304.9061206338764,184,-1346
4,311.13828694006787,781,-669
5,266.0030481028366,435,-896
6,348.49044979740836,1436,-260
7,11109.578956126104,16368,-16384
8,313.85075688932153,5160,3816
9,287.8330321557969,732,-617
10,255.6646277841344,1032,-169
11,305.4318678527177,293,-1345
12,342.423494521039,5196,3524
13,3188.752706874586,16208,-16384
14,380.61116326245605,-1856,-3500
15,281.4414475517066,340,-766
16,259.39013088396405,967,-292
17,271.4179026888241,613,-843
18,276.5245189852068,8508,7152
19,279.5962803758305,15192,13888
20,335.5120266100755,-316,-1848
21,264.8718414629989,514,-698
22,264.29347324517875,736,-426
23,221.57862803077379,569,-398
24,275.6017416490687,8332,7120
25,201.1925406171909,14448,13228
26,379.7179985199543,-4648,-6260
27,277.0168586927518,323,-941
28,264.7518083035506,976,-230
29,242.89153628729017,238,-997
