,desvio_padrao,max,min
0,473.3280891728274,-12444,-14912
1,258.3174357258913,-7576,-8792
2,458.69170474295703,-1760,-3904
3,471.0144637906568,1333,-1540
4,251.9559427757162,764,-571
5,428.13026744204853,955,-797
6,398.2828643062616,-1132,-3044
7,424.51186273177336,12816,11068
8,201.7058888580103,12152,11172
9,293.35619918454086,732,-668
10,348.42253931110713,1048,-703
11,351.14512669265395,613,-939
12,493.6205765565289,-1740,-4488
13,437.930471193773,-7884,-9840
14,625.4940204350478,15436,12304
15,484.8843639467043,726,-1545
16,307.17670403206034,971,-396
17,314.9115659990912,1102,-490
18,471.3826199596247,6956,4492
19,265.75801323760686,-14524,-16068
20,688.4512520142584,5988,2556
21,585.58498102325,1331,-1333
22,245.0365840032872,466,-521
23,471.7837826801595,1353,-827
24,570.8713284094762,644,-2260
25,369.83900497378585,-12816,-14700
26,772.9111721278197,10148,6192
27,558.8090636344403,684,-1978
28,272.9989119025935,812,-388
29,333.1107719663235,792,-878
