,desvio_padrao,max,min
0,586.1327344552597,-12596,-15388
1,276.97225565027264,-6896,-8156
2,431.8859460552057,3960,1640
3,334.57494466860487,347,-1212
4,437.6091310747526,795,-1018
5,367.8126657688667,409,-1366
6,546.7220880849794,-1976,-4704
7,378.3023637251028,-12388,-14100
8,733.7963652131291,11380,8280
9,498.8961826873403,602,-1436
10,407.29709500559903,1254,-762
11,454.2885378259064,1591,-1157
12,576.2584142552714,3640,704
13,333.50898278757046,-13608,-15280
14,853.7214384095084,11204,6972
15,551.8232144446263,688,-1717
16,476.4483229060629,1444,-731
17,417.493269885875,1707,-447
18,414.8380773265636,6968,5188
19,583.7057820511975,10692,7680
20,214.36364990361588,12916,11964
21,508.13387714262865,449,-1944
22,259.7462677306452,885,-399
23,424.6301142170678,924,-914
24,390.7888452860444,1940,328
25,8119.155425141213,16336,-16332
26,399.3038161600763,3548,1516
27,463.7410027159557,391,-1604
28,275.2477565757803,858,-254
29,375.43077590948775,478,-1524
