,desvio_padrao,max,min
0,5343.959142807887,16308,-16276
1,365.0602996766425,-4916,-7612
2,752.3883880018351,4376,-2064
3,461.41562814885236,659,-1286
4,600.1991445345453,1469,-1087
5,703.287002225976,1476,-1774
6,656.6178492852597,-3444,-6780
7,641.2059575518618,-12188,-15352
8,1139.9367526314782,10296,4292
9,868.5219465275474,2270,-2035
10,577.5807735719741,1348,-1163
11,414.6916222929998,711,-1040
12,857.8333973447292,7388,3624
13,499.3160506132363,-13136,-15616
14,1239.6465631783924,10864,4792
15,809.7566480739754,1720,-2105
16,464.5502051447184,1267,-736
17,468.6798373090099,1401,-844
18,484.24370063016823,9032,6588
19,930.7507258122337,11376,7748
20,277.26930158241464,11088,9756
21,841.4587155054014,1344,-2828
22,405.5254369333692,826,-1271
23,458.37663760274694,923,-1115
24,417.3229655794178,4104,2336
25,3205.7059316163113,16280,-16356
26,373.6522104845628,5584,3624
27,606.9437746612119,828,-1856
28,365.8205401559623,1044,-688
29,642.9486327849216,1350,-1582
