,desvio_padrao,max,min
0,841.1260072070058,-8944,-13580
1,471.2383957191944,-2388,-5616
2,1402.996151099496,11616,-2844
3,594.772099211118,2068,-1856
4,772.831757823137,1559,-3102
5,570.2709843574369,1508,-2421
6,623.0444619768319,-5416,-7992
7,671.0329363004472,-11388,-14652
8,1098.4657889984558,10392,4848
9,836.3330113656881,2656,-1775
10,476.93253306940596,1189,-986
11,538.5290877937792,1614,-1192
12,825.8367209079529,2412,-1544
13,11389.124033041348,16300,-16384
14,1249.2769435157284,8948,2068
15,927.4158814145896,2702,-2132
16,414.48803734245445,1232,-981
17,523.4844769427266,1015,-1142
18,2031.7227511646365,7136,-11140
19,2110.2924441887194,10300,-9016
20,2191.189515856627,14356,-8212
21,1735.357483949633,5385,-9899
22,639.847575599064,1927,-2337
23,1234.2910191684941,1197,-11092
24,1072.2519972469158,9928,1160
25,613.6182578769964,-11544,-14976
26,1317.3344790143467,12192,4044
27,1673.2428651872387,6454,-3047
28,642.425505720313,3530,-907
29,803.5964471673577,1596,-3572
