,desvio_padrao,max,min,label
0,146.9658308111831,-1452,-10540,ax0
1,91.35529839993357,-1456,-6916,ay0
2,69.61279566752826,15604,11272,az0
3,161.41330150338726,2685,-3558,gx0
4,106.56576868524506,2761,-1099,gy0
5,110.91276457294188,2416,-2130,gz0
6,48.351716552692444,220,-3624,ax1
7,53.50207561491169,-13540,-15524,ay1
8,98.38806190030834,10136,6120,az1
9,70.0350032253224,1124,-1594,gx1
10,46.49518798830516,1321,-1013,gy1
11,34.869702412343315,938,-804,gz1
12,51.84435988581841,3360,-448,ax2
13,44.90846335165931,-14160,-16276,ay2
14,104.48820244120562,10036,5076,az2
15,69.83203898530388,860,-1895,gx2
16,63.4704748427284,1577,-1522,gy2
17,32.576931751351516,1164,-582,gz2
18,54.86259628851297,1976,-1408,ax3
19,1282.1059564535772,16348,-16340,ay3
20,78.17486480799678,8908,3984,az3
21,74.31801045610077,1034,-1581,gx3
22,33.64414739781078,781,-1037,gy3
23,36.48330740932943,1016,-693,gz3
24,58.77570291755251,3616,748,ax4
25,4379.864206636246,16380,-16384,ay4
26,90.91893397918699,6172,884,az4
27,76.91880487241941,700,-1890,gx4
28,27.740633514018,1280,-788,gy4
29,37.18365251249044,1019,-803,gz4
