,desvio_padrao,max,min,label
0,2652.1904436107725,16372,-16384,ax0
1,33.76073389867853,-1160,-6012,ay0
2,43.12681146687346,-2016,-5336,az0
3,54.038123644586605,1124,-1136,gx0
4,45.02020332563734,1534,-618,gy0
5,91.20827890815282,1746,-902,gz0
6,45.39844219537128,-712,-3676,ax1
7,67.26722680313091,1104,-2844,ay1
8,2064.1382963031137,16332,-16384,az1
9,98.82528682398718,1070,-1274,gx1
10,49.05272841759377,1141,-633,gy1
11,49.95295295730066,558,-1086,gz1
12,55.939120429251346,3856,200,ax2
13,72.04260896014829,3824,-364,ay2
14,2440.7891011050965,16372,-16384,az2
15,94.15615377796202,820,-1442,gx2
16,37.6966242914431,1141,-550,gy2
17,61.28687338118436,1059,-790,gz2
18,51.58333937727864,6812,3864,ax3
19,38.04355871840195,820,-3064,ay3
20,2673.9220432090765,16364,-16372,az3
21,72.39363303593846,950,-1050,gx3
22,34.36542767579277,920,-976,gy3
23,73.41835487577477,1077,-870,gz3
24,49.94856530773748,2972,-80,ax4
25,60.41352407422353,4476,872,ay4
26,1163.7947473516408,16376,-16380,az4
27,89.85743847356729,618,-1559,gx4
28,44.719468950506354,1365,-562,gy4
29,60.85499104732458,646,-1222,gz4
