,desvio_padrao,max,min,label
0,62.10805264682124,-12920,-16180,ax0
1,39.89758436790404,-5224,-8104,ay0
2,46.468178213160904,3532,-1804,az0
3,29.632842486176965,655,-888,gx0
4,55.760535225450255,1072,-907,gy0
5,64.8207449730294,1256,-1113,gz0
6,77.79290677141402,-304,-5652,ax1
7,69.66644712179735,-11192,-14768,ay1
8,98.76044436244099,12552,7436,az1
9,121.33563107430513,1625,-3788,gx1
10,103.60319974651834,1583,-1065,gy1
11,250.29729433813583,3264,-2387,gz1
12,59.00641567854168,3964,252,ax2
13,84.98889141681305,11292,7408,ay2
14,32.865684301594115,15312,12868,az2
15,91.41621103224092,873,-1457,gx2
16,27.79515622210369,1050,-471,gy2
17,55.58403656524028,1172,-789,gz2
18,53.72901299946114,9044,4856,ax3
19,56.72665467905917,8288,4328,ay3
20,36.7282620977045,14680,12444,az3
21,67.78697717187148,699,-1310,gx3
22,23.64259836263016,843,-695,gy3
23,61.93578869658498,892,-760,gz3
24,56.616687795724864,4036,-4,ax4
25,78.30448524361425,12056,7996,ay4
26,40.186116229117836,13412,10680,az4
27,85.03342631514053,643,-1626,gx4
28,29.86028036684484,1142,-332,gy4
29,54.38953653214595,816,-1182,gz4
