,desvio_padrao,max,min,label
0,38.25386282510108,-9632,-14784,ax0
1,87.34058934698758,7328,1180,ay0
2,42.47494459090288,10408,6516,az0
3,153.75558406191558,1809,-2166,gx0
4,76.23636357949094,1021,-1967,gy0
5,155.21690511641162,1908,-2568,gz0
6,64.95032076835712,520,-2868,ax1
7,100.09657766844381,10544,4852,ay1
8,18.467755288760873,16260,14372,az1
9,108.15758539752149,1061,-2831,gx1
10,69.85788605015371,1432,-803,gy1
11,126.52334852279571,1499,-3014,gz1
12,63.945955730195756,3728,-76,ax2
13,112.04800221304453,14448,9812,ay2
14,38.72219576018112,12980,9496,az2
15,96.57941289217042,964,-2250,gx2
16,62.268042889781135,1292,-810,gy2
17,144.46315213368214,1487,-2754,gz2
18,64.01255497748993,7132,2676,ax3
19,116.6300301881325,13204,6588,ay3
20,33.91751637673167,13768,10280,az3
21,121.86280334323112,2130,-2061,gx3
22,77.65859303062383,1204,-1007,gy3
23,139.0992007026419,1638,-2976,gz3
24,61.97663160598513,4020,-180,ax4
25,114.50658973976893,15900,12156,ay4
26,39.732405082836664,8948,4612,az4
27,100.35517977335334,1233,-2425,gx4
28,66.03365617937608,1311,-1039,gy4
29,149.20123292303336,1240,-3383,gz4
