,desvio_padrao,max,min,label
0,82.11949118003317,-9168,-14640,ax0
1,25.826121456786698,-8816,-12500,ay0
2,98.45348856089467,1172,-5992,az0
3,113.72013849131412,1947,-1417,gx0
4,230.65655094453868,2766,-3372,gy0
5,74.62972596122617,1167,-1799,gz0
6,71.1858965145643,-1924,-6776,ax1
7,66.60629976656372,10612,6888,ay1
8,24.230976868551352,15076,12356,az1
9,66.7446168125658,1499,-1240,gx1
10,107.9846633009659,2194,-743,gy1
11,134.19659038746494,1083,-2325,gz1
12,86.33574983434345,-2904,-6444,ax2
13,43.18508950261555,-6348,-10508,ay2
14,68.06194717181094,15668,11624,az2
15,118.2663409686403,576,-2303,gx2
16,142.63271403031817,2336,-722,gy2
17,76.32978986061126,1495,-752,gz2
18,99.11589386610002,5032,-500,ax3
19,4795.845014729692,16376,-16384,ay3
20,157.0979842246818,8696,464,az3
21,314.52570053231807,1442,-5121,gx3
22,127.20747992499008,1953,-1501,gy3
23,139.06639562580077,2438,-715,gz3
24,87.12499414738042,112,-3764,ax4
25,61.06173064191748,-11728,-14852,ay4
26,100.87471792771063,11496,5520,az4
27,175.56633157585847,525,-2886,gx4
28,128.03119248570363,2175,-766,gy4
29,80.29390090597185,1179,-1056,gz4
