,desvio_padrao,max,min,label
0,132.23175098095194,-816,-6228,ax0
1,100.08761494778403,-12780,-16036,ay0
2,121.63012387363106,9148,3792,az0
3,123.28547734411664,1471,-2967,gx0
4,224.4955564499517,3196,-3226,gy0
5,78.81800162298696,1354,-1423,gz0
6,208.25133439560895,3376,-1900,ax1
7,182.1283497416684,-9692,-14828,ay1
8,220.09746277368728,15200,8276,az1
9,309.9509588605261,2106,-5671,gx1
10,204.6474236544365,3009,-1505,gy1
11,240.85104130865454,4146,-2105,gz1
12,105.7982511958492,5812,628,ax2
13,2169.9809981264566,16380,-16384,ay2
14,61.70379031301623,4504,-128,az2
15,117.7096889893926,1952,-2504,gx2
16,169.37169281917096,1508,-3374,gy2
17,129.32896477155887,4283,-956,gz2
18,107.6491370578174,7288,3428,ax3
19,1898.7859904889956,16296,-16372,ay3
20,72.90715188246375,3132,-280,az3
21,99.4060300378853,1258,-2073,gx3
22,154.66603302840002,1247,-2372,gy3
23,66.32686960907613,1110,-1154,gz3
24,90.174493780928,5920,-180,ax4
25,3473.9297371947305,16372,-16384,ay4
26,74.93453163858328,112,-4360,az4
27,119.06334221671239,1654,-2238,gx4
28,155.17514127284673,2495,-2165,gy4
29,89.61830234899782,1025,-1373,gz4
