,desvio_padrao,max,min,label
0,132.90528819955117,-8652,-15796,ax0
1,217.0025790363685,2316,-10388,ay0
2,221.36902243516977,11896,-1732,az0
3,185.96239900983122,1441,-4027,gx0
4,43.986856461828125,1264,-2158,gy0
5,61.429218943033646,1668,-1486,gz0
6,126.29877458036589,168,-4912,ax1
7,1801.0070816572384,16372,-16384,ay1
8,42.62228800148849,9664,4764,az1
9,61.979158741232744,1070,-1790,gx1
10,65.49440385761628,1206,-816,gy1
11,69.31737697841353,1006,-1570,gz1
12,127.52790526566254,2916,-2340,ax2
13,3763.9753009843594,16376,-16384,ay2
14,45.192790176894896,6500,1988,az2
15,63.402599345222455,911,-1699,gx2
16,69.14120329853691,1176,-908,gy2
17,87.33145021905648,1550,-1219,gz2
18,118.65365378296215,5536,-2524,ax3
19,86.66337696954437,-11696,-15336,ay3
20,160.65535372450526,12704,5752,az3
21,235.91950052228722,2008,-4054,gx3
22,70.41529930122518,1752,-1553,gy3
23,110.5085449507854,2040,-1496,gz3
24,262.6475738798314,4432,-10604,ax4
25,3054.704494974863,16372,-16380,ay4
26,86.31904187278867,8044,1448,az4
27,95.60847699692852,1110,-5172,gx4
28,105.98905563710487,2076,-1209,gy4
29,137.7430783068546,858,-5909,gz4
