,desvio_padrao,max,min,label
0,71.14094937516174,-9584,-15860,ax0
1,79.80454457739083,-7520,-12448,ay0
2,142.52540252033214,2376,-5064,az0
3,163.71056095251956,1241,-3764,gx0
4,94.10080329966057,2193,-1356,gy0
5,77.25812087632544,1812,-785,gz0
6,134.5406580045112,4604,-2512,ax1
7,122.27023968533449,-11016,-15980,ay1
8,164.62737776228283,14508,6416,az1
9,195.18814835889066,1590,-5104,gx1
10,82.30340689108264,2096,-806,gy1
11,122.70229074766092,3111,-1440,gz1
12,90.88905804029743,8988,1512,ax2
13,3245.4677387535785,16380,-16380,ay2
14,72.62299435501605,3056,-2900,az2
15,84.04107733306537,1339,-2407,gx2
16,45.83799171359822,1272,-938,gy2
17,68.68834190493749,1351,-1424,gz2
18,86.34411597762609,11896,4176,ax3
19,72.4993176854769,16120,12560,ay3
20,50.0667377534936,2656,-3428,az3
21,66.24798539823112,1078,-1485,gx3
22,62.208183131961,1318,-1339,gy3
23,59.3665582053434,1174,-1272,gz3
24,65.70896170051407,8656,3492,ax4
25,74.7781715377593,16284,13100,ay4
26,68.41376569594134,-1740,-7288,az4
27,60.95898180931641,888,-1959,gx4
28,39.05980594686462,1122,-987,gy4
29,82.34979276657693,1134,-1926,gz4
