,desvio_padrao,max,min,label
0,494.3483459275145,6216,-15940,ax0
1,615.138099320126,15756,-8260,ay0
2,541.5878696902288,12364,-10808,az0
3,251.72773856805176,3292,-2252,gx0
4,325.39219465977703,1890,-12377,gy0
5,134.01661531649867,4382,-1734,gz0
6,104.54707186171089,9804,2224,ax1
7,828.9135994643622,16260,-16020,ay1
8,129.09115738656112,-576,-7704,az1
9,184.28569887891734,1450,-3121,gx1
10,126.8937768769903,4134,-2257,gy1
11,149.00678671387774,2526,-3789,gz1
12,144.91983597793947,8956,-2932,ax2
13,827.4033728889517,16336,-15540,ay2
14,140.59913362391742,-1520,-9184,az2
15,157.42450390026707,1304,-3245,gx2
16,181.80463518977405,5693,-1394,gy2
17,148.13802199564628,2665,-2675,gz2
18,304.0471815177764,12164,-8060,ax3
19,589.4282128152543,14644,-9100,ay3
20,3557.601794376867,16380,-16384,az3
21,428.31825993090115,2333,-13330,gx3
22,95.58731653455284,3603,-2419,gy3
23,199.28514443897765,1802,-8253,gz3
24,110.58195969651155,4552,-3856,ax4
25,3101.965326168885,16380,-16384,ay4
26,146.01112427729348,884,-7800,az4
27,206.37723270134532,1169,-5107,gx4
28,139.85403886586337,4687,-1597,gy4
29,133.222525683938,2289,-2441,gz4
