,desvio_padrao,max,min,label
0,63.63187753533264,-8852,-13484,ax0
1,42.3772847006531,-2504,-5836,ay0
2,88.30923019545821,12456,7740,az0
3,77.64111546313077,1133,-1132,gx0
4,66.35433344412438,1225,-1158,gy0
5,49.759865047819744,1109,-1012,gz0
6,90.08126389570407,12328,8072,ax1
7,33.34968246800018,-536,-4696,ay1
8,66.38734185060305,15712,12032,az1
9,72.61489365289414,1363,-1447,gx1
10,68.05839386829919,1497,-838,gy1
11,69.86068310639648,1150,-1163,gz1
12,80.57146217057497,13144,9248,ax2
13,45.154648586382216,13672,8620,ay2
14,83.12561588570543,8612,1876,az2
15,210.67223400635862,2266,-3974,gx2
16,81.43820121510996,1557,-1382,gy2
17,39.40125855972808,1375,-580,gz2
18,63.64437154989866,15336,12312,ax3
19,48.92790944640978,10108,5720,ay3
20,32.34751545017391,-3892,-7200,az3
21,101.0613946318256,1791,-1660,gx3
22,52.11046338021478,726,-1196,gy3
23,41.463289811891684,867,-539,gz3
24,63.664605423263254,14500,11100,ax4
25,53.21434958816045,12148,8588,ay4
26,39.08708524729839,-2220,-6088,az4
27,77.79142940666341,922,-1871,gx4
28,38.08085797697715,1038,-833,gy4
29,56.47742295521984,1100,-890,gz4
