,desvio_padrao,max,min,label
0,204.39902907067486,-8104,-14688,ax0
1,98.35363662445148,-3428,-10360,ay0
2,130.18554395120958,10312,4932,az0
3,177.31947816334852,2147,-3192,gx0
4,176.0944907982558,3282,-3553,gy0
5,167.96500514228768,2035,-3714,gz0
6,128.65282449880837,2900,-2716,ax1
7,204.19848632942723,-8568,-14392,ay1
8,672.8497116168821,16104,-15944,az1
9,328.08886384180175,3140,-5258,gx1
10,151.5510812176683,1696,-2261,gy1
11,145.5906075468986,2116,-1749,gz1
12,119.56808084086697,1992,-3304,ax2
13,218.72028961976102,-9204,-15748,ay2
14,327.137406830257,16288,6120,az2
15,312.6630106185107,3162,-5263,gx2
16,115.00149331398325,3109,-1764,gy2
17,122.68023031471726,2361,-764,gz2
18,221.59323498376065,8288,-4012,ax3
19,145.1108659968544,12948,7320,ay3
20,109.9208572673412,15508,9952,az3
21,168.97812665791912,3346,-3320,gx3
22,119.52293684774924,2105,-1385,gy3
23,124.59646328859199,2263,-2271,gz3
24,102.12313402467944,2600,-2620,ax4
25,2229.5520194467736,16380,-16200,ay4
26,79.39385578760339,7908,3356,az4
27,183.35823125882567,2361,-3474,gx4
28,81.97290047245535,1580,-1891,gy4
29,140.52427903649706,1229,-3346,gz4
