,desvio_padrao,max,min,label
0,86.51324299286141,-10892,-14836,ax0
1,68.41596864250727,-6520,-9648,ay0
2,53.31364407588848,7380,2908,az0
3,94.49657175271457,2360,-2061,gx0
4,99.79781619613811,1795,-2006,gy0
5,91.36499009661586,1146,-2441,gz0
6,118.43377400602394,2548,-1372,ax1
7,3281.105716900184,16380,-16384,ay1
8,59.89147808787545,7508,2984,az1
9,92.08104736345102,1113,-2004,gx1
10,113.17297810666687,1620,-965,gy1
11,64.85847177218531,745,-1671,gz1
12,102.51950668309061,5880,2152,ax2
13,4149.970927951895,16376,-16384,ay2
14,68.10054552156592,1284,-3500,az2
15,108.41134936000057,918,-2400,gx2
16,90.02914148886445,1674,-2085,gy2
17,76.56481333649504,978,-1506,gz2
18,95.99330304475805,9248,5936,ax3
19,52.39426787218181,15592,13260,ay3
20,44.779003230022056,2624,-2464,az3
21,110.42390941623704,1094,-2233,gx3
22,110.20478701277112,1645,-1367,gy3
23,60.00385455478146,834,-993,gz3
24,97.31832190094592,8952,5064,ax4
25,50.88874828927998,15372,13140,ay4
26,53.52382277622818,-2352,-6828,az4
27,79.55573699070217,494,-1922,gx4
28,80.74786066344092,1372,-1021,gy4
29,106.6813359330419,675,-2261,gz4
