,desvio_padrao,max,min,label
0,84.94283133834162,-9620,-16268,ax0
1,26.652270588342226,-6708,-10392,ay0
2,81.69797134639485,7012,1028,az0
3,51.08001591982944,992,-1547,gx0
4,79.1369744304834,2323,-1459,gy0
5,135.72360274404488,1240,-2254,gz0
6,41.57317484150735,-1152,-5764,ax1
7,97.52683218333246,-11472,-15504,ay1
8,140.66537026757928,12448,5380,az1
9,211.8991722717854,2435,-3905,gx1
10,80.6083365324158,1626,-969,gy1
11,69.95907723539239,1591,-1591,gz1
12,73.94089344024493,4328,-956,ax2
13,92.21567368181847,-12608,-16060,ay2
14,151.30402486316203,12860,5272,az2
15,220.77087230157093,2351,-4702,gx2
16,83.77563515720175,1607,-849,gy2
17,80.75232781180095,1949,-835,gz2
18,55.834767765161914,6968,4052,ax3
19,65.82162699727384,11556,6856,ay3
20,60.2057363662387,13648,9312,az3
21,110.52992387804775,1773,-2964,gx3
22,53.55068497513286,965,-1082,gy3
23,75.72864129420847,1663,-1442,gz3
24,57.143803880761354,1940,-1208,ax4
25,3188.110375796756,16372,-16384,ay4
26,43.833204074449185,6996,1060,az4
27,88.20489932799413,1375,-2693,gx4
28,50.78143858316279,959,-1123,gy4
29,75.90106626565344,974,-1583,gz4
