,desvio_padrao,max,min,label
0,136.52440461035494,-8520,-14416,ax0
1,60.46438661555688,-2388,-8500,ay0
2,312.30544301337903,11616,-2844,az0
3,118.56426364145575,2068,-2129,gx0
4,132.9853544749184,2050,-3102,gy0
5,93.58295400423468,2537,-2836,gz0
6,58.19613710429559,-3932,-9952,ax1
7,90.64724090651835,-8632,-14652,ay1
8,159.44684232310198,13848,3764,az1
9,195.4632987764429,2656,-4078,gx1
10,64.21015596564854,2290,-1636,gy1
11,164.15023712120725,3160,-2632,gz1
12,171.24229293560623,5704,-3188,ax2
13,4311.17245672447,16372,-16384,ay2
14,222.70487642986154,11868,1956,az2
15,240.10996458298507,2702,-4481,gx2
16,60.434313454275554,2288,-981,gy2
17,190.48532439320144,4285,-2781,gz2
18,472.8088681372592,7736,-11140,ax3
19,430.5793996328528,10764,-9016,ay3
20,590.257247347514,14400,-8212,az3
21,345.6406766849607,5385,-9899,gx3
22,133.3911897384088,1990,-2672,gy3
23,240.2692821013888,1775,-11092,gz3
24,172.59716452835787,9928,1160,ax4
25,93.71674893866489,-10364,-15208,ay4
26,199.47690197066342,12192,3408,az4
27,349.74256631969,6454,-5918,gx4
28,81.04999195002458,3530,-1732,gy4
29,167.10697525481234,2010,-3572,gz4
